칩셋,해시레이트,채산성
GTX 1060 (6GB),23.0,60000
GTX 1070,26.0,70000
GTX 1070Ti,30.0,85000
GTX 1080,34.0,90000
GTX 1080Ti,41.0,120000
GTX 1660,23.0,60000
GTX 1660 Super,29.0,80000
GTX 1660 Ti,28.0,78000
RTX 2060,30.0,85000
RTX 2060 Super,40.0,110000
RTX 2070,40.0,110000
RTX 2070 Super,40.0,110000
RTX 2080,41.0,110000
RTX 2080 Super,42.0,110000
RTX 2080 Ti,56.0,150000
RTX 3060,48.0,130000
RTX 3060 Ti,60.0,180000
RTX 3070,60.0,180000
RTX 3080,93.0,270000
RTX 3090,120.0,360000
RX 470 (8GB),30.0,80000
RX 480 (8GB),30.0,80000
RX 570 (8GB),30.0,80000
RX 580 (8GB),30.0,80000
RX 590 (8GB),30.0,80000
RX 5500XT (8GB),26.0,70000
RX 5600XT,40.0,110000
RX 5700,55.0,150000
RX 5800XT,55.0,150000
RX 6700XT,43.0,120000
RX 6800,60.0,180000
RX 6800XT,60.0,180000
RX 6900XT,63.0,200000
